视频名称,标注,时间段,说明
cao27280_489,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
cao27280_490,身体暴露：乳房,2-6秒,女性受试者故意露出胸部
cao27280_491,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
cao27280_492,身体暴露：乳房,2-16秒,女性受试者故意露出胸部
cao27280_493,身体暴露：乳房,5-10秒,女性受试者故意露出胸部
cao27280_494,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
cao27280_495,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
cao27280_496,身体暴露：乳房,2-14秒,女性受试者故意露出胸部
cao27280_497,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
cao27280_498,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
cao27280_499,身体暴露：乳房,13-15秒,女性受试者故意露出胸部
cao27280_500,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_501,身体暴露：隐私部位,1-6秒,女性受试者故意露出隐私部位
cao27280_502,身体暴露：乳房,2-15秒,女性受试者故意露出胸部
cao27280_503,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_504,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_505,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_506,身体暴露：乳房,14-15秒,女性受试者故意露出胸部
cao27280_507,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_508,身体暴露：乳房,5-13秒,女性受试者故意露出胸部
cao27280_509,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
cao27280_510,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_511,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
cao27280_512,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
cao27280_513,身体暴露：乳房,1-12秒,女性受试者故意露出胸部
cao27280_514,身体暴露：乳房,2-10秒,女性受试者故意露出胸部
cao27280_515,身体暴露：乳房,3-12秒,女性受试者故意露出胸部
cao27280_516,身体暴露：乳房,9-12秒,女性受试者故意露出胸部
cao27280_517,身体暴露：隐私部位,1-3秒,女性受试者故意露出隐私部位
cao27280_518,身体暴露：隐私部位,3-4秒,女性受试者故意露出隐私部位
cao27280_519,身体暴露：乳房,14-16秒,女性受试者故意露出胸部
cao27280_520,身体暴露：乳房,10-12秒,女性受试者故意露出胸部
cao27280_521,正常,,
cao27280_522,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
cao27280_523,身体暴露：乳房,1-21秒,女性受试者故意露出胸部
cao27280_524,身体暴露：乳房,1-18秒,女性受试者故意露出胸部
cao27280_525,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
cao27280_526,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
cao27280_527,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_528,身体暴露：乳房,7-15秒,女性受试者故意露出胸部
cao27280_529,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
cao27280_530,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
cao27280_531,身体暴露：乳房,1-11秒,女性受试者故意露出胸部
cao27280_532,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_533,身体暴露：乳房,10-11秒,女性受试者故意露出胸部
cao27280_534,身体暴露：乳房,1-9秒,女性受试者故意露出胸部
cao27280_535,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
cao27280_536,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_537,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
cao27280_538,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_539,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
cao27280_540,身体暴露：隐私部位,7-10秒,女性受试者故意露出隐私部位
cao27280_541,身体暴露：乳房,9-11秒,女性受试者故意露出胸部
cao27280_542,身体暴露：乳房,15-18秒,女性受试者故意露出胸部
cao27280_543,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
cao27280_544,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
cao27280_545,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_546,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
cao27280_547,身体暴露：乳房,16-20秒,女性受试者故意露出胸部
cao27280_548,身体暴露：乳房,6-7秒,女性受试者故意露出胸部
cao27280_549,身体暴露：乳房,28-29秒,女性受试者故意露出胸部
cao27280_550,身体暴露：乳房,5-7秒,女性受试者故意露出胸部
cao27280_551,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
cao27280_552,身体暴露：乳房；不当触摸：触摸私密处,1-15秒,女性受试者故意露出胸部和私密部位，并抚摸私密部位
cao27280_553,身体暴露：乳房,6-7秒,女性受试者故意露出胸部
cao27280_554,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
cao27280_555,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_556,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_557,身体暴露：乳房,15-16秒,女性受试者故意露出胸部
cao27280_558,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
cao27280_559,身体暴露：乳房,11-12秒,女性受试者故意露出胸部
cao27280_560,身体暴露：乳房,1-18秒,女性受试者故意露出胸部
cao27280_561,身体暴露：乳房,31-38秒,女性受试者故意露出胸部
cao27280_562,身体暴露：乳房,4-10秒,女性受试者故意露出胸部
cao27280_563,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
cao27280_564,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_565,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
cao27280_566,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_567,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_568,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
cao27280_569,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
cao27280_570,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
cao27280_571,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
cao27280_572,身体暴露：乳房,5-15秒,女性受试者故意露出胸部
cao27280_573,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_574,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
cao27280_575,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_576,身体暴露：乳房,1-7秒,女性受试者故意露出胸部
cao27280_577,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
cao27280_578,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
cao27280_579,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_580,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
cao27280_581,身体暴露：乳房,14-15秒,女性受试者故意露出胸部
cao27280_582,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
cao27280_583,身体暴露：乳房,1-7秒,女性受试者故意露出胸部
cao27280_584,身体暴露：乳房,1-13秒,女性受试者故意露出胸部
cao27280_585,身体暴露：乳房,1-7秒,女性受试者故意露出胸部
cao27280_586,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_587,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_588,身体暴露：乳房,12-32秒,女性受试者故意露出胸部
cao27280_589,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
cao27280_590,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_591,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
cao27280_592,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_593,身体暴露：乳房,12-13秒,女性受试者故意露出胸部
cao27280_594,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_595,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_596,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_597,身体暴露：乳房,1-13秒,女性受试者故意露出胸部
cao27280_598,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_599,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
cao27280_600,身体暴露：乳房,5-7秒,女性受试者故意露出胸部
cao27280_601,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_602,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_603,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_604,身体暴露：乳房,3-7秒,女性受试者故意露出胸部
cao27280_605,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_606,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_607,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_608,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_609,身体暴露：乳房,1-6秒,女性受试者故意穿透视装露出胸部
cao27280_610,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_611,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_612,身体暴露：乳房,10-13秒,女性受试者故意露出胸部
cao27280_613,身体暴露：乳房,13-15秒,女性受试者故意露出胸部
cao27280_614,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
cao27280_615,身体暴露：乳房,5-12秒,女性受试者故意露出胸部
cao27280_616,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
cao27280_617,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_618,身体暴露：乳房,19-21秒,女性受试者故意露出胸部
cao27280_619,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
cao27280_620,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_621,身体暴露：乳房,7-17秒,女性受试者故意露出胸部
cao27280_622,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
cao27280_623,身体暴露：乳房,5-8秒,女性受试者故意露出胸部
cao27280_624,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_625,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
cao27280_626,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
cao27280_627,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
cao27280_628,身体暴露：乳房,1-10秒,女性受试者故意穿透视装露出胸部
cao27280_629,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
cao27280_630,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
cao27280_631,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_632,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
cao27280_633,身体暴露：乳房,1-7秒,女性受试者故意露出胸部
cao27280_634,身体暴露：乳房,11-13秒,女性受试者故意露出胸部
cao27280_635,身体暴露：乳房,1-11秒,女性受试者故意露出胸部
cao27280_636,身体暴露：乳房,7-10秒,女性受试者故意露出胸部
cao27280_637,身体暴露：乳房,7-11秒,女性受试者故意露出胸部
cao27280_638,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
cao27280_639,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
cao27280_640,身体暴露：乳房,1-12秒,女性受试者故意露出胸部
cao27280_641,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_642,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_643,身体暴露：乳房,2-6秒,女性受试者故意露出胸部
cao27280_644,身体暴露：乳房,13-15秒,女性受试者故意露出胸部
cao27280_645,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
cao27280_646,身体暴露：乳房,1-9秒,女性受试者故意露出胸部
cao27280_647,身体暴露：乳房,12-14秒,女性受试者故意露出胸部
cao27280_648,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
cao27280_649,身体暴露：乳房,11-15秒,女性受试者故意露出胸部
cao27280_650,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
cao27280_651,身体暴露：乳房,5-9秒,女性受试者故意露出胸部
cao27280_652,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
cao27280_653,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
cao27280_654,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
cao27280_655,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
cao27280_656,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
cao27280_657,身体暴露：乳房,1-15秒,女性受试者故意露出胸部
cao27280_658,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_659,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
cao27280_660,身体暴露：乳房,2-8秒,女性受试者故意露出胸部
cao27280_661,身体暴露：隐私部位,3-5秒,女性受试者故意露出隐私部位
cao27280_662,看不了,,
cao27280_663,看不了,,
cao27280_664,看不了,,
cao27280_665,看不了,,
cao27280_666,看不了,,
cao27280_667,看不了,,
cao27280_668,看不了,,
cao27280_669,看不了,,
cao27280_670,看不了,,
cao27280_671,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_672,看不了,,
cao27280_673,看不了,,
cao27280_674,看不了,,
cao27280_675,看不了,,
cao27280_676,看不了,,
cao27280_677,看不了,,
cao27280_678,看不了,,
cao27280_679,看不了,,
cao27280_680,看不了,,
,,,
chenxisobo16141_1,看不了,,
chenxisobo16141_2,性暗示动作：具有明显性暗示的动作,1-14秒,女性受试者故意做出有明显性暗示的动作
chenxisobo16141_3,看不了,,
chenxisobo16141_4,性暗示动作：具有明显性暗示的动作,1-26秒,女性受试者故意做出有明显性暗示的动作
chenxisobo16141_5,性暗示动作：具有明显性暗示的动作,1-6秒,女性受试者故意做出有明显性暗示的动作
chenxisobo16141_6,身体暴露：乳房,1-16秒,女性受试者故意裸露乳房
chenxisobo16141_7,正常,,
chenxisobo16141_8,性暗示动作：具有明显性暗示的动作,5-9秒,女性受试者故意做出有明显性暗示的动作
chenxisobo16141_9,身体暴露：乳房,1-10秒,女性受试者故意穿透视装裸露乳房
chenxisobo16141_10,正常,,
chenxisobo16141_11,正常,,
chenxisobo16141_12,身体暴露：隐私部位,1-2秒,女性受试者故意露出隐私部位
chenxisobo16141_13,身体暴露：隐私部位，乳房和臀部,49-140秒,女性受试者故意露出隐私部位，胸部和臀部
chenxisobo16141_14,身体暴露：乳房,47-56秒,女性受试者故意露出胸部
chenxisobo16141_15,身体暴露：隐私部位,1-78秒,女性受试者故意露出隐私学位
chenxisobo16141_16,正常,,
chenxisobo16141_17,性暗示动作：具有明显性暗示的动作,1-21秒,女性受试者故意做出有明显性暗示的动作
chenxisobo16141_18,正常,,
chenxisobo16141_19,正常,,
chenxisobo16141_20,身体暴露：隐私部位，乳房和臀部,1-130秒,女性受试者故意露出隐私部位，胸部和臀部
chenxisobo16141_21,正常,,
chenxisobo16141_22,正常,,
chenxisobo16141_23,身体暴露：乳房,15-18秒,女性受试者故意露出胸部
chenxisobo16141_24,身体暴露：乳房,1-83秒,女性受试者故意露出胸部
chenxisobo16141_25,正常,,
chenxisobo16141_26,身体暴露：乳房和隐私部位,1-11秒,女性受试者故意露出隐私部位，胸部
chenxisobo16141_27,身体暴露：隐私部位；不当触摸：用手触摸隐私部位,9-33秒,女性受试者故意露出隐私部位，并触摸隐私部位
chenxisobo16141_28,身体暴露：臀部,1-38秒,女性受试者故意露出臀部
chenxisobo16141_29,身体暴露：臀部,1-12秒,女性受试者故意露出臀部
chenxisobo16141_30,不当触摸：用手触摸乳房,1-5秒,女性受试者被触摸乳房
chenxisobo16141_31,性用品展示：性玩具的展示使用；身体暴露：臀部,1-17秒,女性受试者被使用性玩具鞭打臀部
chenxisobo16141_32,身体暴露：隐私部位,1-145秒,女性受试者露出隐私部位
chenxisobo16141_33,性暗示动作：具有明显性暗示的动作；不当触摸：用手触摸乳房,1-26秒,女性受试者触摸胸部并做出性暗示动作
chenxisobo16141_34,身体暴露：乳房和隐私部位,1-12秒,女性受试者故意露出隐私部位，胸部
chenxisobo16141_35,身体暴露：乳房和隐私部位,1-66秒,女性受试者故意露出隐私部位，胸部
chenxisobo16141_36,不当触摸：用手触摸乳房,93-113秒,女性受试者触摸胸部
chenxisobo16141_37,身体暴露：乳房和隐私部位；性暗示动作：具有明显性暗示的动作,1-140秒,女性受试者故意露出隐私部位，胸部，并做出具有性暗示的动作
chenxisobo16141_38,身体暴露：乳房,1-16秒,女性受试者故意露出胸部
chenxisobo16141_39,身体暴露：乳房,1-17秒,女性受试者故意露出胸部
chenxisobo16141_40,身体暴露：乳房和隐私部位,6-9秒,女性受试者故意露出胸部和隐私部位
chenxisobo16141_41,正常,,
chenxisobo16141_42,身体暴露：乳房,1-15秒,女性受试者故意露出胸部
chenxisobo16141_43,身体暴露：乳房和隐私部位；不当触摸：用手触摸乳房和隐私部位,1-140秒,女性受试者故意露出胸部和隐私部位，并触摸
chenxisobo16141_44,正常,,
chenxisobo16141_45,正常,,
chenxisobo16141_46,性暗示动作：具有明显性暗示的动作,36-88秒,女性受试者故意做出性暗示动作
chenxisobo16141_47,正常,,
chenxisobo16141_48,正常,,
chenxisobo16141_49,正常,,
chenxisobo16141_50,身体暴露：乳房和隐私部位,7-60秒,女性受试者故意露出胸部和隐私部位
chenxisobo16141_51,身体暴露：乳房,31-140秒,女性受试者故意露出胸部
chenxisobo16141_52,看不了,,
chenxisobo16141_53,身体暴露：乳房,1-140秒,女性受试者故意露出胸部
chenxisobo16141_54,正常,,
chenxisobo16141_55,正常,,
chenxisobo16141_56,正常,,
chenxisobo16141_57,身体暴露：乳房和隐私部位,5-21秒,女性受试者故意露出胸部和隐私部位
chenxisobo16141_58,性暗示动作：具有明显性暗示的动作,1-60秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_59,性暗示动作：具有明显性暗示的动作,1-61秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_60,看不了,,
chenxisobo16141_61,性暗示动作：具有明显性暗示的动作,1-140秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_62,性暗示动作：具有明显性暗示的动作,1-140秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_63,身体暴露：乳房；不当触摸：用手触摸乳房,1-15秒,女性受试者故意露出胸部并揉捏
chenxisobo16141_64,正常,,
chenxisobo16141_65,身体暴露：乳房,17-43秒,女性受试者故意露出胸部
chenxisobo16141_66,正常,,
chenxisobo16141_67,性暗示动作：具有明显性暗示的动作,1-140秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_68,身体暴露：臀部和隐私部位,82-129秒,女性受试者故意露出臀部和隐私部位
chenxisobo16141_69,性暗示动作：具有明显性暗示的动作,1-140秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_70,不当触摸：用手触摸隐私部位,1-52秒,女性受试者故意触摸隐私部位
chenxisobo16141_71,正常,,
chenxisobo16141_72,性暗示动作：具有明显性暗示的动作；身体暴露：乳房和隐私部位,1-126秒,女性受试者故意露出胸部和隐私部位并作出具有性暗示的动作
chenxisobo16141_73,身体暴露：乳房,1-15秒,女性受试者故意露出胸部
chenxisobo16141_74,身体暴露：臀部,1-93秒,女性受试者故意露出臀部
chenxisobo16141_75,正常,,
chenxisobo16141_76,正常,,
chenxisobo16141_77,性暗示动作：具有明显性暗示的动作,1-15秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_78,性暗示动作：具有明显性暗示的动作；身体暴露：乳房和隐私部位,1-140秒,女性受试者故意做出具有性暗示的动作，露出胸部和隐私部位
chenxisobo16141_79,身体暴露：乳房,1-31秒,女性受试者故意露出胸部
chenxisobo16141_80,身体暴露：乳房,1-111秒,女性受试者故意露出胸部
chenxisobo16141_81,身体暴露：臀部和隐私部位,1-70秒,女性受试者故意露出臀部和隐私部位
chenxisobo16141_82,性暗示动作：具有明显性暗示的动作,1-26秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_83,身体暴露：乳房,1-102秒,女性受试者故意露出胸部
chenxisobo16141_84,性暗示动作：具有明显性暗示的动作,1-116秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_85,性暗示动作：具有明显性暗示的动作,1-135秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_86,性暗示动作：具有明显性暗示的动作；不当触摸：用手触摸隐私部位,1-139秒,女性受试者故意做出具有性暗示的动作并触摸隐私部位
chenxisobo16141_87,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
chenxisobo16141_88,身体暴露：臀部,1-103秒,女性受试者故意露出臀部
chenxisobo16141_89,身体暴露：乳房；不当触摸：用手触摸乳房,1-5秒,女性受试者故意露出胸部并揉捏
chenxisobo16141_90,身体暴露：乳房和私密部位,1-139秒,女性受试者故意露出胸部和私密部位
chenxisobo16141_91,正常,,
chenxisobo16141_92,不当触摸：用手触摸乳房和隐私部位,1-125秒,女性受试者故意触摸胸部和隐私部位
chenxisobo16141_93,身体暴露：乳房和隐私部位,1-30秒,女性受试者故意露出胸部和隐私部位
chenxisobo16141_94,身体暴露：乳房和隐私部位,1-140秒,女性受试者故意露出胸部和隐私部位
chenxisobo16141_95,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
chenxisobo16141_96,身体暴露：臀部和隐私部位,19-60秒,女性受试者故意露出臀部和隐私部位
chenxisobo16141_97,身体暴露：乳房,1-11秒,女性受试者故意露出胸部
chenxisobo16141_98,性暗示动作：具有明显性暗示的动作,1-53秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_99,性暗示动作：具有明显性暗示的动作,1-132秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_100,性暗示动作：具有明显性暗示的动作；身体暴露：乳房,1-117秒,女性受试者故意露出胸部，并具有性暗示的动作
chenxisobo16141_101,性暗示动作：具有明显性暗示的动作,1-140秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_102,身体暴露：乳房；不当触摸：用手触摸乳房和隐私部位,51-140秒,女性受试者故意露出胸部并触摸，也触摸隐私部位
chenxisobo16141_103,身体暴露：乳房,1-120秒,女性受试者故意露出胸部
chenxisobo16141_104,身体暴露：乳房和隐私部位；不当触摸：用手触摸乳房,1-134秒,女性受试者故意露出胸部和隐私部位并触摸乳房
chenxisobo16141_105,身体暴露：乳房；不当触摸：用手触摸乳房,1-6秒,女性受试者故意露出胸部并触摸
chenxisobo16141_106,性暗示动作：具有明显性暗示的动作,1-86秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_107,性暗示动作：具有明显性暗示的动作,1-134秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_108,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
chenxisobo16141_109,正常,,
chenxisobo16141_110,性暗示动作：具有明显性暗示的动作,1-139秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_111,不当触摸：触摸胸部,1-16秒,女性受试者故意触摸胸部
chenxisobo16141_112,不当触摸：触摸胸部,1-31秒,女性受试者故意触摸胸部
chenxisobo16141_113,性暗示动作：具有明显性暗示的动作,1-140秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_114,性暗示动作：具有明显性暗示的动作,1-11秒,女性受试者故意做出具有性暗示的动作
chenxisobo16141_115,不当触摸：触摸胸部,1-53秒,女性受试者故意触摸胸部
chenxisobo16141_116,看不了,,
chenxisobo16141_117,性暗示动作：具有明显性暗示的动作,1-140秒,女性受试者故意做出具有性暗示的动作
,,,
douyin717_1,正常,,
douyin717_2,身体暴露：乳房,3-18秒,女性受试者故意露出胸部
douyin717_3,身体暴露：乳房,6-12秒,女性受试者故意露出胸部
douyin717_4,正常,,
douyin717_5,身体暴露：乳房,6-10秒,女性受试者故意露出胸部
douyin717_6,正常,,
douyin717_7,看不了,,
douyin717_8,身体暴露：乳房,9-18秒,女性受试者故意露出胸部
douyin717_9,看不了,,
douyin717_10,身体暴露：乳房,7-13秒,女性受试者故意露出胸部
douyin717_11,身体暴露：乳房,16-18秒,女性受试者故意露出胸部
douyin717_12,身体暴露：乳房,19-21秒,女性受试者故意露出胸部
douyin717_13,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
douyin717_14,身体暴露：乳房,9-14秒,女性受试者故意露出胸部
douyin717_15,身体暴露：乳房,6-9秒,女性受试者故意露出胸部
douyin717_16,身体暴露：乳房,7-9秒,女性受试者故意露出胸部
douyin717_17,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
douyin717_18,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
douyin717_19,身体暴露：乳房,5-15秒,女性受试者故意露出胸部
,,,
zongrenli4_1,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
zongrenli4_2,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
zongrenli4_3,身体暴露：乳房,9-11秒,女性受试者故意露出胸部
zongrenli4_4,身体暴露：乳房,14-16秒,女性受试者故意露出胸部
zongrenli4_5,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
zongrenli4_6,身体暴露：乳房,17-24秒,女性受试者故意露出胸部
zongrenli4_7,身体暴露：乳房,13-15秒,女性受试者故意露出胸部
zongrenli4_8,正常,,
zongrenli4_9,身体暴露：乳房,8-10秒,女性受试者故意露出胸部
zongrenli4_10,正常,,
zongrenli4_11,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
zongrenli4_12,正常,,
zongrenli4_13,正常,,
zongrenli4_14,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
zongrenli4_15,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
zongrenli4_16,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
zongrenli4_17,身体暴露：乳房,14-16秒,女性受试者故意露出胸部
zongrenli4_18,正常,,
zongrenli4_19,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
zongrenli4_20,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
zongrenli4_21,身体暴露：乳房,1-16秒,女性受试者故意露出胸部
zongrenli4_22,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
zongrenli4_23,身体暴露：乳房,11-13秒,女性受试者故意露出胸部
zongrenli4_24,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
zongrenli4_25,正常,,
zongrenli4_26,身体暴露：乳房和隐私部位,1-72秒,女性受试者故意露出胸部和隐私部位
zongrenli4_27,身体暴露：乳房,6-9秒,女性受试者故意露出胸部
zongrenli4_28,身体暴露：乳房,10-13秒,女性受试者故意露出胸部
zongrenli4_29,身体暴露：乳房,7-9秒,女性受试者故意露出胸部
zongrenli4_30,看不了,,
zongrenli4_31,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
zongrenli4_32,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
zongrenli4_33,正常,,
zongrenli4_34,身体暴露：隐私部位,66-76秒,女性受试者故意露出隐私部位
zongrenli4_35,身体暴露：臀部和隐私部位,12-73秒,女性受试者故意露出臀部和隐私部位
zongrenli4_36,正常,,
zongrenli4_37,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
zongrenli4_38,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
zongrenli4_39,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
zongrenli4_40,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
zongrenli4_41,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
zongrenli4_42,身体暴露：乳房,6-9秒,女性受试者故意露出胸部
zongrenli4_43,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
zongrenli4_44,正常,,
zongrenli4_45,身体暴露：臀部和隐私部位,8-11秒,女性受试者故意露出臀部和隐私部位
zongrenli4_46,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
zongrenli4_47,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
zongrenli4_48,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
zongrenli4_49,身体暴露：乳房,7-12秒,女性受试者故意露出胸部
zongrenli4_50,身体暴露：隐私部位,6-8秒,女性受试者故意露出隐私部位
zongrenli4_51,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
zongrenli4_52,身体暴露：乳房,1-7秒,女性受试者故意露出胸部
zongrenli4_53,身体暴露：乳房,1-20秒,女性受试者故意露出胸部
